LearneCN — vocabulary filter report

Generated by tools/filter-vocabulary.py. Every line is a change that
tool made to the shipped data. "trigger" is the word that caused it;
the offending definitions themselves are not repeated here.

Official HSK 1-6 vocabulary is never deleted. The most that happens to
an HSK word is that one sense is dropped from its gloss.

779 headwords are gone from the data entirely.
967 practice questions were about one of them and went with it.
1810 more had an obscene wrong answer swapped for a clean one and were kept.

------------------------------------------------------------------------------
file          word       reading          action                           category   trigger
cedict.json   娣姒         di4 si4          sense dropped                    sexual     concubines
cedict.json   娼          chang1           removed                          sexual     prostitute
cedict.json   娼女         chang1 nu:3      removed                          sexual     prostitute
cedict.json   娼妇         chang1 fu4       removed                          sexual     prostitute
cedict.json   娼妓         chang1 ji4       removed                          sexual     prostitute
cedict.json   娼家         chang1 jia1      removed                          sexual     brothel
cedict.json   婊          biao3            removed                          sexual     prostitute
cedict.json   婊子         biao3 zi5        removed                          sexual     prostitute
cedict.json   婕妤         jie2 yu2         removed                          sexual     concubine
cedict.json   婬          yin2             removed                          sexual     obscene
cedict.json   媚态         mei4 tai4        sense dropped                    sexual     seductive
cedict.json   媵          ying4            sense dropped                    sexual     concubine
cedict.json   媵侍         ying4 shi4       removed                          sexual     concubine
cedict.json   媾          gou4             sense dropped                    sexual     copulate
cedict.json   媾合         gou4 he2         removed                          sexual     copulate
cedict.json   媾和         gou4 he2         sense dropped                    sexual     copulate
cedict.json   嫔          pin2             removed                          sexual     concubine
cedict.json   嫔妃         pin2 fei1        removed                          sexual     concubine
cedict.json   嫖          piao2            removed                          sexual     prostitute
cedict.json   嫖妓         piao2 ji4        removed                          sexual     prostitute
cedict.json   嫖娼         piao2 chang1     sense dropped                    sexual     prostitutes
cedict.json   嫖客         piao2 ke4        removed                          sexual     brothel
cedict.json   嫖宿         piao2 su4        removed                          sexual     brothel
cedict.json   嫖资         piao2 zi1        removed                          sexual     prostitute
cedict.json   嫡          di2              removed                          sexual     concubine
cedict.json   嫡出         di2 chu1         removed                          sexual     concubine
cedict.json   嫡母         di2 mu3          removed                          sexual     concubine
cedict.json   嫪毐         Lao4 Ai3         sense dropped                    sexual     penis
cedict.json   嬬          xu1              sense dropped                    sexual     concubine
cedict.json   孤老         gu1 lao3         sense dropped                    sexual     brothels
cedict.json   孽          nie4             sense dropped                    sexual     concubine
cedict.json   孽子         nie4 zi3         sense dropped                    sexual     concubine
cedict.json   安全套        an1 quan2 tao4   removed                          sexual     condom
cedict.json   宗筋         zong1 jin1       removed                          sexual     penis
cedict.json   定点茶        ding4 dian3 cha  removed                          sexual     prostitute
cedict.json   实女         shi2 nu:3        removed                          sexual     vagina
cedict.json   宠妾         chong3 qie4      removed                          sexual     concubine
cedict.json   宠妾灭妻       chong3 qie4 mie  sense dropped                    sexual     concubine
cedict.json   宠姬         chong3 ji1       removed                          sexual     concubine
cedict.json   宠擅专房       chong3 shan4 zh  removed                          sexual     concubine
cedict.json   宫人         gong1 ren2       sense dropped                    sexual     concubine
cedict.json   家姬         jia1 ji1         removed                          sexual     concubines
cedict.json   宿娼         su4 chang1       removed                          sexual     prostitute
cedict.json   寻花         xun2 hua1        sense dropped                    sexual     prostitute
cedict.json   寻花问柳       xun2 hua1 wen4   sense dropped                    sexual     brothels
cedict.json   射出         she4 chu1        removed                          sexual     review
cedict.json   射精         she4 jing1       removed                          sexual     ejaculation
cedict.json   射精管        she4 jing1 guan  removed                          sexual     ejaculatory
cedict.json   小便         xiao3 bian4      sense dropped                    sexual     penis
cedict.json   小太太        xiao3 tai4 tai5  removed                          sexual     review
cedict.json   小女人        xiao3 nu:3 ren2  sense dropped                    sexual     concubine
cedict.json   小妈         xiao3 ma1        sense dropped                    sexual     concubine
cedict.json   小妖精        xiao3 yao1 jing  removed                          sexual     review
cedict.json   小妹妹        xiao3 mei4 mei5  sense dropped                    sexual     vulva
cedict.json   小姐         xiao3 jie5       sense dropped                    sexual     prostitute
cedict.json   小弟弟        xiao3 di4 di5    sense dropped                    sexual     penis
cedict.json   小老婆        xiao3 lao3 po2   sense dropped                    sexual     concubine
cedict.json   小雨伞        xiao3 yu3 san3   removed                          sexual     condom
cedict.json   小鬟         xiao3 huan2      sense dropped                    sexual     courtesan
cedict.json   小鸟         xiao3 niao3      sense dropped                    sexual     penis
